faiss_id,spotify_id,track_name,artist
203,3Uo3Lnc9Zi3HAf5nUXOd5I,Bladość,['Voidfire']
204,6MrlxCGfTiOboTcw5NeNE0,Światło-Cierń,['Voidfire']
205,2oXwe4JcHEZv4191dKesBj,-,['Voidfire']
206,6xZmsb1eiZOeNDbmHb0Ae6,Sztorm,['Voidfire']
207,7Bh14hJvh6l75VRRBt6WaT,Ogini Na Ese,"['4rmdaeast', 'Waga G', 'Masterkraft']"
208,5ytvIgBtRNTriG2SNpxueP,Rihanna - Remix,"['Big Tyger', 'Quincy Alfred']"
209,5q3P09cdEzhM1XMhreLpfi,Schwarze Madonna,['DJ Cheasy']
210,5dJTazSZKrCMVBM7sZmt3Q,Oh! My Friend,['Ellie Pop']
211,1WP8tCvU4YyAAOpVy75rqV,Watcha Gonna Do,['Ellie Pop']
212,6olVy1Y8mfEzoP4xUSVj4M,Winner Loser,['Ellie Pop']
213,1izOadfvgL7wJAKgCWGf9F,Remembering (Sunnybrook),['Ellie Pop']
214,7LgiHqn71YQY6MYqLsUNS9,Can'T Be Love,['Ellie Pop']
215,5BlnTa0ySFRONkomnIByGK,Seven North Frederick,['Ellie Pop']
216,16akGhW5PxxvcnrI0mhPZZ,Seems I'Ve Changed,['Ellie Pop']
217,4YVjmnFwCvDvV9X3GjDZPm,Sometime Ago,['Ellie Pop']
218,3idkqvH3HHMFjT0GJZXeaX,No Thanks For Mr. Mann,['Ellie Pop']
219,4lJfVB5AQTZEpIYn3KWauk,Caught In The Rain,['Ellie Pop']
220,6Kp38YGq3oTHD6fLINTsgu,Kryptonite,"['Lil Tygaa', 'Vanglo']"
221,5mML9Jlm1cRob4WaVrTOes,Cambia Este Lugar,['Post Kaos']
222,6hyB249GQrcnhNNRW146EK,Maldita Depresión,['Post Kaos']
223,2Av1FYFCIlUzYAjEBSggnl,Caminaré,['Post Kaos']
224,1fVBLAFYtAgrPiecxmNnIu,Solo,['Post Kaos']
225,6HqTq48Mg3xMckbxrDUIkp,Crudo Invierno,['Post Kaos']
226,6sci9ptLQ4zRNbfPmziMoP,Mentiras En Respuesta,['Post Kaos']
227,2wZUKaigCsITmbOWV3XRoD,Invisible,['Post Kaos']
228,1deMxjqPG9xnuPekyNASIA,Sin Rastro,['Post Kaos']
229,4SoZpFbRvqdPGecKxy708C,Eslabón Perdido,['Post Kaos']
230,6QTZK2go4OlJZIKz7XhkU2,Me & You,['Sundelles']
231,6IdZ5Ajfhuv0tN8ugxdioC,Tear It Apart,['Sundelles']
232,6xMsd0w2ZUqia8L3KfcBw2,Gold,['Sundelles']
233,4jsHKpwMjfn0tOoVox1VpD,In My Dreams,['Sundelles']
234,3W7qvIErnqqisO2h3gf4T4,Walking Along,['Sundelles']
235,2lKkyJiJfkh0zRButA20rM,Kiss The Coast,['Sundelles']
236,0t8Gd4Gmtxjc6xQWpg7NQI,Can'T Win,['Sundelles']
237,1CRan7c3BBJt23nQ6AgE5P,Not Today,['Sundelles']
238,0ikzZSzcbqr8wRHxjOPraq,Dead Youth,['Sundelles']
239,3XNqJhuq3hHp2do8m5DCxR,Keep It To Yourself,['Sundelles']
240,3KR8KwVqNQeCfA4J9674Tt,Whip It - Karaoke Instrumental Version In The Style Of Nicki Minaj,['The Hitts']
241,2GRuZM8e68uERT3zBenIMk,Dance Again - Karaoke Instrumental Version In The Style Of Jennifer Lopez Feat. Pitbull,['The Hitts']
242,6M3igLZlvwPwij77XGnMBF,Like Sapphire,['Toby Kaar']
243,5XDm17CMr23xEubUjMq11I,One For Bogie,['Toby Kaar']
244,2jpRZfj4RZ5t5saopGwShA,Fowl,['Toby Kaar']
245,7JZnCuhrDOF9S06fuy3pmD,Snapdragon,['Toby Kaar']
246,4uLuxEe3VmmQ70qVVaL82W,Dead And Devouted,['Vorkreist']
247,0FWqKeZR7REjxpuPsdqRYa,Iconophobia,['Vorkreist']
248,5KuzWJkMWGZH0j0lydGEbZ,At The Side Of The Beast,['Vorkreist']
249,6dGGHUuRzHrfbvM7P1Qyox,Throntorment The Impaled,['Vorkreist']
250,4U9WFrvm9Sr2MdM7lqkfkV,Dawn Of Terror,['Vorkreist']
251,2O86MQRvA9ABiiUb0fxxam,Purified In Hellfire,['Vorkreist']
252,3CiUFRK7nYDo42zZGlXT0e,Sabbathical Flesh Possession,['Vorkreist']
253,4vsmZEfOclFF2TlmBnNtj7,Open The Gates Of Flesh,['Vorkreist']
254,4d7yzebchVbyt4sKOVHEtX,Infernal Communion,['Vorkreist']
